,Компания,Модель,Комплектация,Тип кузова,Трансмиссия,Штат продажи,Состояние,Пробег,Цвет,Интерьер,Продавец,Оценочная стоимость,Цена продажи,День продажи,Месяц продажи,Год продажи
326101,Ford,F-150,XLT,SuperCrew,automatic,nj,44.0,11649.0,white,beige,ford motor credit company llc,29100.0,31700.0,Wed,Feb,2015.0
326102,Ford,F-150,XL,Regular Cab,automatic,ca,43.0,6155.0,white,gray,u-haul fleet sales,18400.0,17700.0,Wed,Feb,2015.0
326103,Ford,F-150,Lariat,SuperCrew,automatic,ga,5.0,12081.0,white,gray,ars/thrifty car rental/greer,35300.0,35400.0,Tue,Feb,2015.0
326104,Ford,F-150,XL,Regular Cab,automatic,wa,45.0,7634.0,white,gray,u-haul,18300.0,18200.0,Wed,Feb,2015.0
326105,Ford,F-150,XL,Regular Cab,automatic,mn,44.0,5005.0,white,gray,u-haul,18200.0,17300.0,Thu,Mar,2015.0
326106,Ford,F-150,XL,Regular Cab,automatic,wa,47.0,4309.0,white,gray,u-haul,18300.0,18300.0,Wed,Mar,2015.0
326107,Ford,F-150,XL,Regular Cab,automatic,wa,5.0,4967.0,white,gray,u-haul,18500.0,18700.0,Wed,Feb,2015.0
326108,Ford,F-150,XL,Regular Cab,automatic,wa,47.0,12378.0,white,gray,u-haul,17950.0,17800.0,Wed,Feb,2015.0
326109,Ford,F-150,XL,Regular Cab,automatic,ca,49.0,4685.0,white,gray,u-haul fleet sales,18500.0,18500.0,Wed,Feb,2015.0
326110,Ford,F-150,Platinum,SuperCrew,automatic,wi,49.0,10785.0,black,black,new look enterprises inc,40800.0,39200.0,Wed,Feb,2015.0
326111,Ford,F-150,XL,Regular Cab,automatic,mn,49.0,1982.0,white,gray,u-haul,18650.0,18500.0,Thu,Feb,2015.0
326112,Ford,F-150,XL,Regular Cab,automatic,wa,39.0,11184.0,white,gray,u-haul,18000.0,17800.0,Wed,Feb,2015.0
326117,Ford,F-150,XLT,SuperCab,automatic,ny,5.0,3816.0,brown,gray,ford motor credit company llc,26100.0,29500.0,Wed,Feb,2015.0
326498,Ford,F-150,STX,SuperCab,automatic,il,35.0,11965.0,black,gray,ford-lincoln dealer program,21400.0,23300.0,Tue,Feb,2015.0
