,Компания,Модель,Комплектация,Тип кузова,Трансмиссия,Штат продажи,Состояние,Пробег,Цвет,Интерьер,Продавец,Оценочная стоимость,Цена продажи,День продажи,Месяц продажи,Год продажи
101486,Audi,A8,L 4.2 quattro,Sedan,automatic,tx,25.0,30726.0,black,purple,vw credit,38700.0,35200.0,Thu,Jan,2015.0
101487,Audi,A4,2.0T Premium quattro,Sedan,automatic,wi,19.0,90168.0,white,gray,wheels exchange llc,14600.0,9300.0,Wed,Feb,2015.0
101488,Audi,A6,3.2 Premium,Sedan,automatic,oh,42.0,79420.0,black,brown,chase automotive leasing,17350.0,17750.0,Tue,Jan,2015.0
101508,Audi,Q7,3.0T S line Prestige quattro,SUV,automatic,ca,37.0,44740.0,black,black,jpmorgan chase bank n.a.,34100.0,37500.0,Thu,Jan,2015.0
102689,Audi,A4,2.0T Premium quattro,Sedan,automatic,wi,31.0,88827.0,white,beige,wheels exchange llc,13250.0,12200.0,Wed,Jan,2015.0
102692,Audi,A4,2.0T Premium quattro,Sedan,manual,tx,44.0,51377.0,white,black,vw credit,17500.0,17800.0,Thu,Jan,2015.0
102695,Audi,A5,2.0T Premium quattro,Convertible,automatic,ca,29.0,61634.0,black,black,auto gallery,20400.0,19750.0,Thu,Jan,2015.0
103158,Audi,A4,2.0T Premium quattro,Sedan,automatic,tn,36.0,75453.0,blue,blue,sullivan auto group llc,12200.0,13100.0,Wed,Jan,2015.0
103159,Audi,R8,quattro,Coupe,manual,ca,45.0,31665.0,gray,black,high bid trading co inc,81000.0,82500.0,Thu,Jan,2015.0
103161,Audi,A4,2.0T,Convertible,automatic,ga,28.0,43385.0,black,black,capital one auto finance,15500.0,13600.0,Tue,Jan,2015.0
103164,Audi,A4,2.0T Premium quattro,Sedan,automatic,pa,19.0,57156.0,black,brown,jpmorgan chase bank n.a.,14350.0,11300.0,Wed,Jan,2015.0
103173,Audi,A4,2.0T Premium quattro,Sedan,automatic,tx,19.0,104974.0,brown,tan,wells fargo dealer services,9400.0,8600.0,Wed,Jan,2015.0
103183,Audi,A4,2.0T Premium quattro,Sedan,automatic,pa,34.0,88900.0,gray,gray,tdaf remarketing,10450.0,11300.0,Tue,Jan,2015.0
103549,Audi,A4,2.0T,Sedan,automatic,ca,27.0,90251.0,gray,black,wells fargo dealer services,8075.0,5800.0,Thu,Jan,2015.0
103563,Audi,A4,2.0T Avant quattro,Wagon,automatic,il,29.0,45320.0,silver,black,mercedes benz of chicago,15800.0,13500.0,Thu,Jan,2015.0
103564,Audi,A4,2.0T quattro,Sedan,manual,pa,44.0,65604.0,silver,black,car sense inc,10650.0,11900.0,Tue,Jan,2015.0
103577,Audi,A6,4.2 quattro,Sedan,automatic,ca,37.0,64139.0,silver,black,high bid trading co inc,15850.0,16500.0,Wed,Jan,2015.0
103586,Audi,Q7,4.2 Premium quattro,SUV,automatic,nv,35.0,117182.0,gray,gray,kapitolia auto llc,14550.0,14400.0,Fri,Jan,2015.0
103589,Audi,A6,3.2 quattro,Sedan,automatic,wi,21.0,111703.0,gray,gray,us bank,9625.0,8600.0,Wed,Feb,2015.0
103592,Audi,A6,3.2,Sedan,automatic,ca,26.0,96905.0,black,black,wells fargo dealer services,10450.0,10100.0,Thu,Jan,2015.0
103603,Audi,A6,3.2 quattro,Sedan,automatic,ma,22.0,138365.0,silver,gray,audi cape cod,7625.0,7000.0,Thu,Jan,2015.0
104218,Audi,A8,L quattro,Sedan,automatic,ma,23.0,155965.0,black,black,audi cape cod,8625.0,6300.0,Tue,Jan,2015.0
104219,Audi,A4,2.0T,Sedan,automatic,wi,2.0,136700.0,black,black,fiserv/sierra auto finance,3900.0,1350.0,Wed,Jan,2015.0
104223,Audi,Q7,3.6 Premium quattro,SUV,automatic,ny,3.0,97835.0,blue,tan,chrysler capital,13700.0,12000.0,Wed,Jan,2015.0
104231,Audi,A4,2.0T quattro,Sedan,automatic,nj,36.0,108718.0,black,black,bmw of mount laurel,6375.0,5900.0,Wed,Jan,2015.0
104235,Audi,A4,2.0T quattro,Sedan,automatic,wa,24.0,114805.0,black,black,wells fargo dealer services,6575.0,4000.0,Wed,Jan,2015.0
104237,Audi,A4,2.0T,Sedan,automatic,fl,31.0,77709.0,white,black,bmw of fort myers,7125.0,7000.0,Wed,Jan,2015.0
104242,Audi,A3,2.0T,Wagon,automatic,fl,3.0,130262.0,gray,black,germain toyota of naples/germain scion of naples,4575.0,5300.0,Wed,Jan,2015.0
104248,Audi,S4,quattro,Sedan,automatic,va,39.0,105627.0,silver,black,shirlie slack mitsubishi,12800.0,13900.0,Thu,Jan,2015.0
104250,Audi,A6,3.2 quattro,Sedan,automatic,il,3.0,108028.0,gray,black,gateway one lending & finance,8300.0,7100.0,Tue,Feb,2015.0
104255,Audi,A4,2.0T,Sedan,automatic,fl,25.0,86086.0,silver,black,innovate loan servicing corp,6700.0,4600.0,Thu,Jan,2015.0
104902,Audi,S4,quattro,Convertible,manual,ma,33.0,101292.0,black,gray,bmw gallery,10500.0,9500.0,Tue,Feb,2015.0
104906,Audi,A4,2.0T quattro,Sedan,manual,ma,34.0,133429.0,black,black,chrysler dodge jeep ram 24,4925.0,5000.0,Tue,Jan,2015.0
105472,Audi,A8,L quattro,Sedan,automatic,mo,38.0,63419.0,black,brown,auto plaza motor sports  llc,11300.0,12500.0,Tue,Jan,2015.0
105473,Audi,A4,2.0T quattro,Sedan,automatic,md,26.0,90288.0,blue,gray,automotive credit corp,4825.0,3200.0,Tue,Feb,2015.0
105484,Audi,A8,quattro,Sedan,automatic,il,21.0,117467.0,white,tan,wells fargo dealer services,7025.0,5000.0,Thu,Jan,2015.0
105505,Audi,A4,3.0 quattro,Convertible,automatic,oh,37.0,98809.0,brown,tan,pauley motor car co preowned vehicles llc,4775.0,6400.0,Tue,Jan,2015.0
105959,Audi,A8,L quattro,Sedan,automatic,mn,3.0,206785.0,red,tan,wells fargo dealer services,3825.0,3700.0,Wed,Jan,2015.0
105961,Audi,TT,180hp,Coupe,automatic,tx,36.0,147572.0,black,black,texas direct auto,2125.0,2400.0,Wed,Jan,2015.0
105966,Audi,A8,L quattro,Sedan,automatic,mi,19.0,100058.0,silver,gray,santander consumer,6450.0,4300.0,Thu,Jan,2015.0
105970,Audi,A6,2.7T S-Line quattro,Sedan,automatic,ca,27.0,137363.0,white,beige,high bid trading co inc,3000.0,2300.0,Wed,Jan,2015.0
106300,Audi,A4,1.8T quattro,Sedan,manual,pa,37.0,114257.0,silver,black,bobby rahal bmw of south hills,3075.0,4000.0,Wed,Jan,2015.0
106304,Audi,A6,3.0 quattro,Sedan,automatic,tx,2.0,195372.0,green,tan,charitable adult rides services/car donating is,1800.0,1400.0,Tue,Jan,2015.0
106309,Audi,A4,3.0 quattro,Sedan,automatic,nj,23.0,212517.0,black,black,petes auto sales inc,1525.0,1100.0,Wed,Jan,2015.0
106320,Audi,A4,1.8T,Convertible,automatic,tn,2.0,137164.0,red,black,innovate auto finance,1650.0,1650.0,Tue,Jan,2015.0
106321,Audi,A4,1.8T quattro,Sedan,manual,ut,1.0,114170.0,blue,gray,remarketing by ge/deseret first credit union,3075.0,500.0,Wed,Jan,2015.0
106606,Audi,TT,180hp,Convertible,manual,ma,23.0,138425.0,blue,black,united auto credit/irvine,2325.0,2600.0,Tue,Feb,2015.0
106607,Audi,A6,3,Sedan,automatic,ca,26.0,116631.0,gray,beige,mckenna motors cerritos inc,3050.0,2800.0,Wed,Jan,2015.0
106608,Audi,A6,3.0 quattro,Sedan,automatic,ut,29.0,147545.0,gray,beige,remarketing by ge/america first credit union,2675.0,1500.0,Wed,Jan,2015.0
106614,Audi,A4,1.8T quattro,Sedan,automatic,pa,19.0,135979.0,silver,beige,credit acceptance corp/vrs/southfield,2000.0,1400.0,Tue,Feb,2015.0
106811,Audi,TT,180hp,Convertible,manual,fl,19.0,107482.0,silver,black,autonation chevrolet pembroke pines,3075.0,3900.0,Tue,Jan,2015.0
106815,Audi,TT,225hp quattro,Coupe,manual,va,25.0,114860.0,silver,gray,browns honda city,3575.0,3300.0,Thu,Jan,2015.0
106831,Audi,TT,225hp quattro,Convertible,manual,ca,31.0,149811.0,green,brown,desert european motorcars,2750.0,2800.0,Wed,Jan,2015.0
106833,Audi,A4,2.8 quattro,Sedan,automatic,fl,23.0,99643.0,blue,beige,autonation chevrolet south clearwater,2475.0,1700.0,Tue,Jan,2015.0
108150,Audi,A4,2.0T Premium quattro,Sedan,automatic,ma,27.0,24968.0,white,black,enterprise veh exchange/rental,23100.0,22750.0,Tue,Jan,2015.0
108151,Audi,A4,2.0T Premium Plus quattro,Sedan,automatic,nv,28.0,8826.0,black,black,autonation toyota scion las vegas,28700.0,14500.0,Fri,Jan,2015.0
108154,Audi,A4,2.0T Premium,Sedan,automatic,mo,48.0,18627.0,black,black,newbold toyota,21800.0,21800.0,Tue,Jan,2015.0
108164,Audi,A6,3.0T Prestige quattro,Sedan,automatic,tx,39.0,37761.0,white,gray,vw credit  inc/pilot,37000.0,38200.0,Thu,Jan,2015.0
108169,Audi,A4,2.0T Premium Plus quattro,Sedan,automatic,ca,46.0,20080.0,white,black,the car exchange,31300.0,33500.0,Thu,Jan,2015.0
108172,Audi,A5,2.0T Premium Plus quattro,Coupe,automatic,ca,39.0,690.0,gray,black,high bid trading co inc,36800.0,35000.0,Thu,Jan,2015.0
108173,Audi,Q5,TDI Premium Plus quattro,SUV,automatic,wi,47.0,29308.0,white,tan,ari,43200.0,42400.0,Wed,Jan,2015.0
108174,Audi,Q5,3.0T Premium Plus quattro,SUV,automatic,nj,4.0,92942.0,white,gray,wheels exchange llc,32600.0,22600.0,Wed,Feb,2015.0
108176,Audi,Q7,3.0T Premium quattro,SUV,automatic,ca,32.0,13849.0,black,black,high bid trading co inc,36100.0,35000.0,Thu,Jan,2015.0
108181,Audi,A7,Premium Plus quattro,Sedan,automatic,ca,42.0,8974.0,black,black,jpmorgan chase bank n.a.,48600.0,48500.0,Thu,Feb,2015.0
108182,Audi,Q5,3.0T Premium Plus quattro,SUV,automatic,nj,4.0,39664.0,white,black,wheels exchange llc,35400.0,34700.0,Wed,Jan,2015.0
110178,Audi,A4,2.0T Premium quattro,Sedan,automatic,tx,48.0,20674.0,white,black,vw credit  inc/pilot,24100.0,25000.0,Thu,Jan,2015.0
110182,Audi,A4,2.0T Premium quattro,Sedan,automatic,nc,33.0,72547.0,red,tan,wheels exchange llc,22600.0,21500.0,Tue,Mar,2015.0
110212,Audi,A4,2.0T Premium,Sedan,automatic,ca,44.0,39982.0,gray,black,auto gallery,18250.0,20250.0,Thu,Jan,2015.0
110227,Audi,A4,2.0T Premium quattro,Sedan,automatic,ca,44.0,19993.0,white,gray,hoehn motors inc,24200.0,22000.0,Thu,Jan,2015.0
110232,Audi,A5,2.0T Premium quattro,Coupe,automatic,nj,26.0,31280.0,white,black,vw credit  inc,25100.0,24000.0,Wed,Jan,2015.0
110233,Audi,A5,2.0T Premium quattro,Convertible,automatic,nj,22.0,68073.0,white,black,vw credit  inc,19450.0,17400.0,Wed,Jan,2015.0
110235,Audi,A5,2.0T Premium quattro,Coupe,automatic,ca,44.0,38595.0,silver,black,auto gallery,24600.0,26500.0,Thu,Jan,2015.0
110236,Audi,A7,Premium quattro,Sedan,automatic,ca,41.0,35719.0,white,beige,high bid trading co inc,39600.0,42750.0,Thu,Jan,2015.0
110238,Audi,Q5,3.2 Premium Plus quattro,SUV,automatic,ca,27.0,14638.0,gray,black,high bid trading co inc,35000.0,32750.0,Thu,Jan,2015.0
110239,Audi,A8,L 4.2 quattro,Sedan,automatic,tx,37.0,22716.0,gray,black,vw credit,45200.0,44800.0,Thu,Jan,2015.0
110240,Audi,Q5,3.2 Premium Plus quattro,SUV,automatic,nj,38.0,39426.0,gray,black,wheels exchange llc,30600.0,31300.0,Wed,Jan,2015.0
110241,Audi,A8,L 4.2 quattro,Sedan,automatic,tx,36.0,41602.0,black,brown,vw credit,41100.0,45600.0,Thu,Jan,2015.0
110245,Audi,A3,1.8 TFSI Premium Plus,Sedan,automatic,il,5.0,913.0,white,black,vw credit,25700.0,27000.0,Tue,Jan,2015.0
110952,Audi,A4,2.0T Premium quattro,Sedan,manual,ca,39.0,41068.0,silver,black,hoehn motors inc,26200.0,26500.0,Tue,Jan,2015.0
110959,Audi,A4,2.0T Premium quattro,Sedan,automatic,pa,24.0,36117.0,white,tan,vw credit,19550.0,17300.0,Fri,Jan,2015.0
